5.218.192.0/19	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		13
5.218.224.0/21	36.0.0.0/6	0.0.0.0/16	0.0.0.0/25		8
5.218.232.0/22	36.0.0.0/6	0.0.0.0/16	0.0.0.0/26		7
5.218.236.0/22	36.0.0.0/6	0.0.0.0/16	0.0.0.0/26		12
5.218.232.0/22	36.0.0.0/6	0.0.0.0/16	0.0.0.64/26		8
5.218.236.0/22	36.0.0.0/6	0.0.0.0/16	0.0.0.64/26		14
5.218.224.0/21	36.0.0.0/6	0.0.0.0/16	0.0.0.128/25		4
5.218.232.0/21	36.0.0.0/6	0.0.0.0/16	0.0.0.128/25		11
5.218.240.0/20	36.0.0.0/6	0.0.0.0/16	0.0.0.0/24		8
5.218.224.0/20	36.0.0.0/6	0.0.0.0/16	0.0.1.0/24		11
5.218.240.0/20	36.0.0.0/6	0.0.0.0/16	0.0.1.0/24		4
5.219.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		8
5.219.128.0/17	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		8
5.216.0.0/15	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		6
5.218.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		7
5.218.128.0/19	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		6
5.218.160.0/19	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		6
5.218.192.0/19	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		11
5.218.224.0/19	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		14
5.219.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		7
5.219.128.0/17	36.0.0.0/6	0.0.0.0/16	0.0.2.0/23		7
5.220.0.0/14	36.0.0.0/6	0.0.0.0/16	0.0.0.0/22		10
5.216.0.0/15	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.0.0/17	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		6
5.218.128.0/19	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.160.0/19	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.192.0/19	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		9
5.218.224.0/19	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		14
5.219.0.0/17	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.219.128.0/17	36.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.216.0.0/15	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.0.0/17	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		6
5.218.128.0/19	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.160.0/19	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		5
5.218.192.0/19	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		9
5.218.224.0/19	38.0.0.0/7	0.0.0.0/16	0.0.4.0/22		14
